bank_txn_id,value_date,description,utr,credit_paise,debit_paise
bank_217,2026-08-10 03:00:00,NEFT CR-UTR:UTR217 SETTL setl_217 RZPGROUP,UTR217,26460148,0
bank_220,2026-08-13 08:00:00,NEFT CR-UTR:UTR220 SETTL setl_220 RZPGROUP,UTR220,37013176,0
bank_221,2026-08-14 13:00:00,NEFT CR-UTR:UTR221 SETTL setl_221 RZPGROUP,UTR221,45098745,0
bank_222,2026-08-14 07:00:00,NEFT CR-UTR:UTR222 SETTL setl_222 RZPGROUP,UTR222,23503901,0
bank_223,2026-08-11 07:00:00,NEFT CR-UTR:UTR223 SETTL setl_223 RZPGROUP,UTR223,25431998,0
bank_224,2026-08-13 10:00:00,NEFT CR SETTL setl_224 RZPGROUP,,45271763,0
bank_225,2026-08-10 05:00:00,NEFT CR-UTR:UTR225 SETTL setl_225 RZPGROUP,UTR225,2716443,0
bank_226,2026-08-09 10:00:00,NEFT CR-UTR:UTR226 SETTL setl_226 RZPGROUP,UTR226,14786454,0
bank_227,2026-08-12 08:00:00,NEFT CR-UTR:UTR227 SETTL setl_227 RZPGROUP,UTR227,5046817,0
bank_229,2026-08-12 11:00:00,NEFT CR-UTR:UTR229 SETTL setl_229 RZPGROUP,UTR229,36627401,0
bank_232,2026-08-16 12:00:00,NEFT CR-UTR:UTR232 SETTL setl_232 RZPGROUP,UTR232,17069193,0
bank_233,2026-08-14 06:00:00,NEFT CR-UTR:UTR233 SETTL setl_233 RZPGROUP,UTR233,24392523,0
bank_234,2026-08-11 05:00:00,NEFT CR-UTR:UTR234 SETTL setl_234 RZPGROUP,UTR234,26873799,0
bank_235,2026-08-11 08:00:00,NEFT CR-UTR:UTR235 SETTL setl_235 RZPGROUP,UTR235,1067010,0
bank_236,2026-08-09 13:00:00,NEFT CR SETTL setl_236 RZPGROUP,,21105375,0
bank_237,2026-08-10 09:00:00,NEFT CR-UTR:UTR237 SETTL setl_237 RZPGROUP,UTR237,10711694,0
bank_239,2026-08-15 06:00:00,NEFT CR-UTR:UTR239 SETTL setl_239 RZPGROUP,UTR239,24883457,0
bank_240,2026-08-14 08:00:00,NEFT CR-UTR:UTR240 SETTL setl_240 RZPGROUP,UTR240,48293623,0
bank_241,2026-08-13 09:00:00,NEFT CR-UTR:UTR241 SETTL setl_241 RZPGROUP,UTR241,24749471,0
bank_242,2026-08-13 04:00:00,NEFT CR-UTR:UTR242 SETTL setl_242 RZPGROUP,UTR242,41991547,0
bank_243,2026-08-10 10:00:00,NEFT CR-UTR:UTR243 SETTL setl_243 RZPGROUP,UTR243,17828479,0
bank_244,2026-08-09 07:00:00,NEFT CR-UTR:UTR244 SETTL setl_244 RZPGROUP,UTR244,13977264,0
bank_245,2026-08-09 08:00:00,NEFT CR-UTR:UTR245 SETTL setl_245 RZPGROUP,UTR245,2696329,0
bank_246,2026-08-10 06:00:00,NEFT CR-UTR:UTR246 SETTL setl_246 RZPGROUP,UTR246,17005764,0
bank_247,2026-08-11 11:00:00,NEFT CR-UTR:UTR247 SETTL setl_247 RZPGROUP,UTR247,33520105,0
bank_249,2026-08-15 04:00:00,NEFT CR-UTR:UTR249 SETTL setl_249 RZPGROUP,UTR249,21489783,0
bank_250,2026-08-17 04:00:00,NEFT CR-UTR:UTR250 SETTL setl_250 RZPGROUP,UTR250,44979331,0
bank_251,2026-08-11 11:00:00,NEFT CR-UTR:UTR251 SETTL setl_251 RZPGROUP,UTR251,14664747,0
bank_253,2026-08-15 03:00:00,NEFT CR-UTR:UTR253 SETTL setl_253 RZPGROUP,UTR253,27439906,0
bank_254,2026-08-11 08:00:00,NEFT CR-UTR:UTR254 SETTL setl_254 RZPGROUP,UTR254,42432792,0
bank_256,2026-08-10 08:00:00,NEFT CR-UTR:UTR256 SETTL setl_256 RZPGROUP,UTR256,12154228,0
bank_257,2026-08-12 08:00:00,NEFT CR-UTR:UTR257 SETTL setl_257 RZPGROUP,UTR257,2153646,0
bank_259,2026-08-14 08:00:00,NEFT CR-UTR:UTR259 SETTL setl_259 RZPGROUP,UTR259,18912673,0
bank_260,2026-08-12 09:00:00,NEFT CR-UTR:UTR260 SETTL setl_260 RZPGROUP,UTR260,38375254,0
bank_261,2026-08-16 09:00:00,NEFT CR-UTR:UTR261 SETTL setl_261 RZPGROUP,UTR261,34925340,0
bank_262,2026-08-10 09:00:00,NEFT CR SETTL setl_262 RZPGROUP,,42523783,0
bank_263,2026-08-17 05:00:00,NEFT CR-UTR:UTR263 SETTL setl_263 RZPGROUP,UTR263,22716044,0
bank_264,2026-08-15 12:00:00,NEFT CR-UTR:UTR264 SETTL setl_264 RZPGROUP,UTR264,23309500,0
bank_265,2026-08-13 03:00:00,NEFT CR-UTR:UTR265 SETTL setl_265 RZPGROUP,UTR265,23767432,0
bank_266,2026-08-16 06:00:00,NEFT CR-UTR:UTR266 SETTL setl_266 RZPGROUP,UTR266,29672186,0
bank_268,2026-08-16 11:00:00,NEFT CR SETTL setl_268 RZPGROUP,,39462378,0
bank_269,2026-08-16 08:00:00,NEFT CR SETTL setl_269 RZPGROUP,,19327448,0
bank_270,2026-08-09 06:00:00,NEFT CR-UTR:UTR270 SETTL setl_270 RZPGROUP,UTR270,20218803,0
bank_271,2026-08-09 11:00:00,NEFT CR-UTR:UTR271 SETTL setl_271 RZPGROUP,UTR271,23799458,0
bank_273,2026-08-11 02:00:00,NEFT CR-UTR:UTR273 SETTL setl_273 RZPGROUP,UTR273,41535959,0
bank_274,2026-08-17 12:00:00,NEFT CR SETTL setl_274 RZPGROUP,,30502444,0
bank_275,2026-08-15 06:00:00,NEFT CR-UTR:UTR275 SETTL setl_275 RZPGROUP,UTR275,22568705,0
bank_276,2026-08-12 11:00:00,NEFT CR-UTR:UTR276 SETTL setl_276 RZPGROUP,UTR276,41858854,0
bank_277,2026-08-11 09:00:00,NEFT CR-UTR:UTR277 SETTL setl_277 RZPGROUP,UTR277,11413140,0
bank_278,2026-08-11 06:00:00,NEFT CR-UTR:UTR278 SETTL setl_278 RZPGROUP,UTR278,28552377,0
bank_280,2026-08-10 10:00:00,NEFT CR SETTL setl_280 RZPGROUP,,9510625,0
