internal_id,order_id,payment_id,created_at,amount_paise,currency,payment_status
int_193,order_193,pay_193,2026-08-17 15:00:00,22903400,INR,captured
int_194,order_194,pay_194,2026-08-13 01:00:00,27000400,INR,captured
int_195,order_195,pay_195,2026-08-13 23:00:00,6718000,INR,captured
int_196,order_196,pay_196,2026-08-13 03:00:00,1797900,INR,captured
int_197,order_197,pay_197,2026-08-13 01:00:00,30190000,INR,captured
int_198,order_198,pay_198,2026-08-14 19:00:00,6047900,INR,captured
int_199,order_199,pay_199,2026-08-11 02:00:00,6274000,INR,captured
int_200,order_200,pay_200,2026-08-14 20:00:00,10595100,INR,captured
int_201,order_201,pay_201,2026-08-10 22:00:00,4702700,INR,captured
int_202,order_202,pay_202,2026-08-12 19:00:00,44735800,INR,captured
int_203,order_203,pay_203,2026-08-13 04:00:00,10637100,INR,captured
int_204,order_204,pay_204,2026-08-10 23:00:00,30103800,INR,captured
int_205,order_205,pay_205,2026-08-09 02:00:00,16315700,INR,captured
int_206,order_206,pay_206,2026-08-13 22:00:00,16721300,INR,captured
int_207,order_207,pay_207,2026-08-07 21:00:00,46130300,INR,captured
int_208,order_208,pay_208,2026-08-14 03:00:00,27263400,INR,captured
int_209,order_209,pay_209,2026-08-08 01:00:00,18241500,INR,captured
int_210,order_210,pay_210,2026-08-13 21:00:00,14489100,INR,captured
int_211,order_211,pay_211,2026-08-12 18:00:00,49467300,INR,captured
int_212,order_212,pay_212,2026-08-15 20:00:00,4358400,INR,captured
int_213,order_213,pay_213,2026-08-14 22:00:00,33601500,INR,captured
int_214,order_214,pay_214,2026-08-12 00:00:00,2205700,INR,captured
int_215,order_215,pay_215,2026-08-09 05:00:00,23147900,INR,captured
int_216,order_216,pay_216,2026-08-10 00:00:00,7632300,INR,captured
int_217,order_217,pay_217,2026-08-06 23:00:00,27099700,INR,captured
int_218,order_218,pay_218,2026-08-14 03:00:00,14123200,INR,captured
int_219,order_219,pay_219,2026-08-10 05:00:00,49665300,INR,captured
int_220,order_220,pay_220,2026-08-10 21:00:00,37907800,INR,captured
int_221,order_221,pay_221,2026-08-12 07:00:00,46188800,INR,captured
int_222,order_222,pay_222,2026-08-12 04:00:00,24072000,INR,captured
int_222_dup,order_222,pay_222,2026-08-12 04:00:00,24072000,INR,captured
int_223,order_223,pay_223,2026-08-09 04:00:00,26046700,INR,captured
int_224,order_224,pay_224,2026-08-11 01:00:00,46366000,INR,captured
int_225,order_225,pay_225,2026-08-06 20:00:00,2782100,INR,captured
int_226,order_226,pay_226,2026-08-06 23:00:00,20355800,INR,captured
int_227,order_227,pay_227,2026-08-08 22:00:00,5168800,INR,captured
int_228,order_228,pay_228,2026-08-17 07:00:00,10536300,INR,captured
int_229,order_229,pay_229,2026-08-10 06:00:00,37512700,INR,captured
int_230,order_230,pay_230,2026-08-13 00:00:00,48930500,INR,captured
int_231,order_231,pay_231,2026-08-07 01:00:00,17735600,INR,captured
int_232,order_232,pay_232,2026-08-13 20:00:00,17466400,INR,captured
int_233,order_233,pay_233,2026-08-11 19:00:00,24982100,INR,captured
int_234,order_234,pay_234,2026-08-10 03:00:00,27584800,INR,captured
int_235,order_235,pay_235,2026-08-08 04:00:00,1092800,INR,captured
int_236,order_236,pay_236,2026-08-07 21:00:00,21615500,INR,captured
int_237,order_237,pay_237,2026-08-06 22:00:00,10970600,INR,captured
int_238,order_238,pay_238,2026-08-12 20:00:00,9179700,INR,captured
int_239,order_239,pay_239,2026-08-11 20:00:00,25484900,INR,captured
int_240,order_240,pay_240,2026-08-11 18:00:00,49460900,INR,captured
int_241,order_241,pay_241,2026-08-10 04:00:00,25255500,INR,captured
int_242,order_242,pay_242,2026-08-10 03:00:00,43006500,INR,captured
int_243,order_243,pay_243,2026-08-08 02:00:00,18259400,INR,captured
int_244,order_244,pay_244,2026-08-08 04:00:00,14315100,INR,captured
int_245,order_245,pay_245,2026-08-08 04:00:00,2761500,INR,captured
int_246,order_246,pay_246,2026-08-09 02:00:00,17416800,INR,captured
int_247,order_247,pay_247,2026-08-09 04:00:00,34330300,INR,captured
int_248,order_248,pay_248,2026-08-15 18:00:00,33963600,INR,captured
int_249,order_249,pay_249,2026-08-12 18:00:00,22009200,INR,captured
int_250,order_250,pay_250,2026-08-14 16:00:00,46066500,INR,captured
int_251,order_251,pay_251,2026-08-09 00:00:00,15019200,INR,captured
int_252,order_252,pay_252,2026-08-14 19:00:00,10208800,INR,captured
int_253,order_253,pay_253,2026-08-12 21:00:00,37775200,INR,captured
int_254,order_254,pay_254,2026-08-10 00:00:00,43458000,INR,captured
int_255,order_255,pay_255,2026-08-14 06:00:00,7472100,INR,captured
int_256,order_256,pay_256,2026-08-08 01:00:00,12448000,INR,captured
int_257,order_257,pay_257,2026-08-10 18:00:00,2205700,INR,captured
int_258,order_258,pay_258,2026-08-12 20:00:00,16185400,INR,captured
int_259,order_259,pay_259,2026-08-12 21:00:00,19369800,INR,captured
int_260,order_260,pay_260,2026-08-09 23:00:00,39302800,INR,captured
int_261,order_261,pay_261,2026-08-14 07:00:00,35769500,INR,captured
int_262,order_262,pay_262,2026-08-08 02:00:00,43551600,INR,captured
int_263,order_263,pay_263,2026-08-14 03:00:00,23265100,INR,captured
int_264,order_264,pay_264,2026-08-12 22:00:00,23872900,INR,captured
int_265,order_265,pay_265,2026-08-10 21:00:00,24341900,INR,captured
int_266,order_266,pay_266,2026-08-13 20:00:00,30420100,INR,captured
int_267,order_267,pay_267,2026-08-15 04:00:00,3259100,INR,captured
int_268,order_268,pay_268,2026-08-13 01:00:00,40416200,INR,captured
int_269,order_269,pay_269,2026-08-14 02:00:00,19794600,INR,captured
int_270,order_270,pay_270,2026-08-08 03:00:00,20707500,INR,captured
int_271,order_271,pay_271,2026-08-07 04:00:00,24374700,INR,captured
int_272,order_272,pay_272,2026-08-18 18:00:00,18248700,INR,captured
int_273,order_273,pay_273,2026-08-09 22:00:00,42539900,INR,captured
int_274,order_274,pay_274,2026-08-16 05:00:00,31239700,INR,captured
int_275,order_275,pay_275,2026-08-13 02:00:00,23114200,INR,captured
int_276,order_276,pay_276,2026-08-11 02:00:00,42870600,INR,captured
int_277,order_277,pay_277,2026-08-09 05:00:00,11689000,INR,captured
int_278,order_278,pay_278,2026-08-07 15:00:00,29242500,INR,captured
int_279,order_279,pay_279,2026-08-16 05:00:00,16810800,INR,captured
int_280,order_280,pay_280,2026-08-08 05:00:00,9740500,INR,captured
int_281,order_281,pay_281,2026-08-07 19:00:00,42345800,INR,captured
int_282,order_282,pay_282,2026-08-10 18:00:00,12832700,INR,captured
int_283,order_283,pay_283,2026-08-18 02:00:00,44514100,INR,captured
int_284,order_284,pay_284,2026-08-15 17:00:00,35419800,INR,captured
int_285,order_285,pay_285,2026-08-18 02:00:00,11051800,INR,captured
int_286,order_286,pay_286,2026-08-17 22:00:00,39257900,INR,captured
int_287,order_287,pay_287,2026-08-10 23:00:00,16961800,INR,captured
int_288,order_288,pay_288,2026-08-10 07:00:00,13813300,INR,captured
int_289,order_289,pay_289,2026-08-12 00:00:00,48037200,INR,captured
int_290,order_290,pay_290,2026-08-12 23:00:00,45402900,INR,captured
int_291,order_291,pay_291,2026-08-13 00:00:00,8090700,INR,captured
int_292,order_292,pay_292,2026-08-09 18:00:00,28969500,INR,captured
int_293,order_293,pay_293,2026-08-10 16:00:00,8920200,INR,captured
int_294,order_294,pay_294,2026-08-08 00:00:00,48171900,INR,captured
int_295,order_295,pay_295,2026-08-13 17:00:00,21721200,INR,captured
int_296,order_296,pay_296,2026-08-07 08:00:00,11567200,INR,captured
int_297,order_297,pay_297,2026-08-16 07:00:00,924700,INR,captured
int_298,order_298,pay_298,2026-08-16 06:00:00,15130700,INR,captured
int_299,order_299,pay_299,2026-08-11 23:00:00,7906500,INR,captured
int_300,order_300,pay_300,2026-08-09 22:00:00,4242800,INR,captured
int_301,order_301,pay_301,2026-08-14 19:00:00,15827300,INR,captured
int_302,order_302,pay_302,2026-08-08 14:00:00,29077400,INR,captured
int_303,order_303,pay_303,2026-08-09 22:00:00,26306900,INR,captured
int_304,order_304,pay_304,2026-08-16 08:00:00,11184300,INR,captured
int_305,order_305,pay_305,2026-08-07 20:00:00,47249800,INR,captured
int_306,order_306,pay_306,2026-08-14 03:00:00,30877500,INR,captured
int_307,order_307,pay_307,2026-08-08 19:00:00,12707600,INR,captured
int_308,order_308,pay_308,2026-08-17 05:00:00,26355900,INR,captured
int_309,order_309,pay_309,2026-08-14 01:00:00,44070700,INR,captured
int_310,order_310,pay_310,2026-08-09 03:00:00,41180400,INR,captured
int_311,order_311,pay_311,2026-08-08 23:00:00,9838000,INR,captured
int_312,order_312,pay_312,2026-08-13 20:00:00,14149400,INR,captured
int_313,order_313,pay_313,2026-08-14 22:00:00,19011000,INR,captured
int_314,order_314,pay_314,2026-08-18 01:00:00,40016400,INR,captured
int_315,order_315,pay_315,2026-08-08 07:00:00,23632300,INR,captured
int_316,order_316,pay_316,2026-08-14 06:00:00,29157000,INR,captured
int_317,order_317,pay_317,2026-08-18 18:00:00,20431800,INR,captured
int_318,order_318,pay_318,2026-08-10 22:00:00,7379200,INR,captured
int_319,order_319,pay_319,2026-08-09 01:00:00,8866400,INR,captured
int_320,order_320,pay_320,2026-08-10 19:00:00,19033300,INR,captured
int_321,order_321,pay_321,2026-08-13 23:00:00,5708400,INR,captured
int_322,order_322,pay_322,2026-08-10 02:00:00,20017100,INR,captured
int_323,order_323,pay_323,2026-08-12 06:00:00,16912000,INR,captured
int_324,order_324,pay_324,2026-08-07 22:00:00,15380200,INR,captured
int_325,order_325,pay_325,2026-08-14 18:00:00,19237300,INR,captured
int_326,order_326,pay_326,2026-08-11 21:00:00,49539000,INR,captured
int_327,order_327,pay_327,2026-08-08 00:00:00,35383400,INR,captured
int_328,order_328,pay_328,2026-08-10 00:00:00,37598900,INR,captured
int_329,order_329,pay_329,2026-08-08 02:00:00,21113700,INR,captured
int_330,order_330,pay_330,2026-08-14 20:00:00,40415300,INR,captured
int_331,order_331,pay_331,2026-08-16 01:00:00,33918200,INR,captured
int_332,order_332,pay_332,2026-08-11 21:00:00,5269800,INR,captured
int_333,order_333,pay_333,2026-08-07 03:00:00,24377800,INR,captured
int_334,order_334,pay_334,2026-08-09 15:00:00,15589100,INR,captured
int_335,order_335,pay_335,2026-08-11 00:00:00,16452000,INR,captured
int_336,order_336,pay_336,2026-08-14 03:00:00,25064600,INR,captured
int_337,order_337,pay_337,2026-08-13 15:00:00,2442600,INR,captured
int_338,order_338,pay_338,2026-08-12 22:00:00,48854700,INR,captured
int_339,order_339,pay_339,2026-08-09 17:00:00,12255900,INR,captured
int_340,order_340,pay_340,2026-08-12 02:00:00,1630500,INR,captured
int_341,order_341,pay_341,2026-08-11 18:00:00,10889000,INR,captured
int_342,order_342,pay_342,2026-08-13 04:00:00,17190900,INR,captured
int_343,order_343,pay_343,2026-08-09 22:00:00,33607600,INR,captured
int_344,order_344,pay_344,2026-08-16 18:00:00,18554100,INR,captured
int_345,order_345,pay_345,2026-08-14 03:00:00,16519900,INR,captured
int_346,order_346,pay_346,2026-08-13 22:00:00,36456000,INR,captured
int_347,order_347,pay_347,2026-08-08 17:00:00,20217400,INR,captured
int_348,order_348,pay_348,2026-08-09 03:00:00,8848500,INR,captured
int_349,order_349,pay_349,2026-08-15 23:00:00,32574900,INR,captured
int_350,order_350,pay_350,2026-08-08 22:00:00,42840700,INR,captured
int_351,order_351,pay_351,2026-08-09 07:00:00,37331900,INR,captured
int_352,order_352,pay_352,2026-08-15 21:00:00,15413900,INR,captured
int_353,order_353,pay_353,2026-08-08 23:00:00,41033200,INR,captured
int_354,order_354,pay_354,2026-08-07 19:00:00,40738200,INR,captured
int_355,order_355,pay_355,2026-08-09 22:00:00,11557800,INR,captured
int_356,order_356,pay_356,2026-08-10 01:00:00,13879000,INR,captured
int_357,order_357,pay_357,2026-08-10 22:00:00,42604100,INR,captured
int_358,order_358,pay_358,2026-08-11 17:00:00,2205700,INR,captured
int_359,order_359,pay_359,2026-08-13 02:00:00,28346900,INR,captured
int_360,order_360,pay_360,2026-08-14 03:00:00,2205700,INR,captured
int_361,order_361,pay_361,2026-08-13 17:00:00,36874900,INR,captured
int_362,order_362,pay_362,2026-08-09 23:00:00,40023100,INR,captured
int_363,order_363,pay_363,2026-08-08 20:00:00,19769800,INR,captured
int_364,order_364,pay_364,2026-08-08 19:00:00,23939100,INR,captured
int_365,order_365,pay_365,2026-08-15 01:00:00,44670000,INR,captured
int_366,order_366,pay_366,2026-08-09 21:00:00,14179000,INR,captured
int_367,order_367,pay_367,2026-08-09 06:00:00,44791400,INR,captured
int_368,order_368,pay_368,2026-08-13 20:00:00,953600,INR,captured
int_369,order_369,pay_369,2026-08-16 01:00:00,10707300,INR,captured
int_370,order_370,pay_370,2026-08-11 00:00:00,34419200,INR,captured
int_371,order_371,pay_371,2026-08-10 18:00:00,20879700,INR,captured
int_372,order_372,pay_372,2026-08-19 06:00:00,156900,INR,captured
int_373,order_373,pay_373,2026-08-08 14:00:00,35750600,INR,captured
int_374,order_374,pay_374,2026-08-09 02:00:00,45206600,INR,captured
int_375,order_375,pay_375,2026-08-13 21:00:00,4783500,INR,captured
int_376,order_376,pay_376,2026-08-10 02:00:00,2205700,INR,captured
int_377,order_377,pay_377,2026-08-12 21:00:00,34179700,INR,captured
int_378,order_378,pay_378,2026-08-10 07:00:00,48328900,INR,captured
int_379,order_379,pay_379,2026-08-14 01:00:00,39549800,INR,captured
int_380,order_380,pay_380,2026-08-11 18:00:00,13091100,INR,captured
int_381,order_381,pay_381,2026-08-11 17:00:00,44553900,INR,captured
int_382,order_382,pay_382,2026-08-14 22:00:00,33977900,INR,captured
