entity_id,type,payment_id,order_id,settlement_id,settlement_utr,amount_paise,fee_paise,tax_paise,debit_paise,credit_paise,settled_at
ent_102,payment,pay_102,order_102,setl_102,,47778100,955562,172001,0,0,2026-08-13 07:00:00
ent_103,payment,pay_103,order_103,setl_103,UTR103,16057400,321148,57806,0,0,2026-08-10 02:00:00
ent_104,payment,pay_104,order_104,setl_104,,23883900,477678,85982,0,0,2026-08-12 07:00:00
ent_105,payment,pay_105,order_105,setl_105,UTR105,32377900,647558,116560,0,0,2026-08-11 05:00:00
ent_106,payment,pay_106,order_106,setl_106,UTR106,23346000,466920,84045,0,0,2026-08-19 04:00:00
ent_107,payment,pay_107,order_107,setl_107,UTR107,47374800,947496,170549,0,0,2026-08-12 01:00:00
ent_108,payment,pay_108,order_108,setl_108,UTR108,49855400,997108,179479,0,0,2026-08-10 02:00:00
ent_109,payment,pay_109,order_109,setl_109,UTR109,41350600,827012,148862,0,0,2026-08-12 04:00:00
ent_110,payment,pay_110,order_110,setl_110,UTR110,43606300,872126,156982,0,0,2026-08-18 04:00:00
ent_111,payment,pay_111,order_111,setl_111,UTR111,41447600,828952,149211,0,0,2026-08-17 05:00:00
ent_112,payment,pay_112,order_112,setl_112,UTR112,5863300,117266,21107,0,0,2026-08-17 03:00:00
ent_113,payment,pay_113,order_113,setl_113,UTR113,17074900,341498,61469,0,0,2026-08-17 03:00:00
ent_114,payment,pay_114,order_114,setl_114,UTR114,27682000,553640,99655,0,0,2026-08-16 02:00:00
ent_115,payment,pay_115,order_115,setl_115,UTR115,31225100,624502,112410,0,0,2026-08-20 08:00:00
ent_116,payment,pay_116,order_116,setl_116,UTR116,15914100,318282,57290,0,0,2026-08-10 01:00:00
ent_116_r,refund,pay_116,order_116,setl_116,,0,0,0,3978525,0,2026-08-10 01:00:00
ent_118,payment,pay_118,order_118,setl_118,UTR118,31992300,639846,115172,0,0,2026-08-15 02:00:00
ent_119,payment,pay_119,order_119,setl_119,UTR119,31420500,628410,113113,0,0,2026-08-09 05:00:00
ent_120,payment,pay_120,order_120,setl_120,UTR120,41681000,833620,150051,0,0,2026-08-16 04:00:00
ent_121,payment,pay_121,order_121,setl_121,UTR121,17869700,357394,64330,0,0,2026-08-10 07:00:00
ent_122,payment,pay_122,order_122,setl_122,UTR122,22474700,449494,80908,0,0,2026-08-12 05:00:00
ent_123,payment,pay_123,order_123,setl_123,UTR123,4882800,97656,17578,0,0,2026-08-16 02:00:00
ent_123_r,refund,pay_123,order_123,setl_123,,0,0,0,1220700,0,2026-08-16 02:00:00
ent_124,payment,pay_124,order_124,setl_124,UTR124,29269800,585396,105371,0,0,2026-08-17 06:00:00
ent_125,payment,pay_125,order_125,setl_125,UTR125,45613000,912260,164206,0,0,2026-08-17 05:00:00
ent_126,payment,pay_126,order_126,setl_126,UTR126,26703000,534060,96130,0,0,2026-08-14 03:00:00
ent_127,payment,pay_127,order_127,setl_127,UTR127,2205700,44114,7940,0,0,2026-08-09 06:00:00
ent_128,payment,pay_128,order_128,setl_128,UTR128,44410400,888208,159877,0,0,2026-08-09 01:00:00
ent_129,payment,pay_129,order_129,setl_129,UTR129,36941600,738832,132989,0,0,2026-08-13 06:00:00
ent_130,payment,pay_130,order_130,setl_130,UTR130,29791500,595830,107249,0,0,2026-08-18 07:00:00
ent_131,payment,pay_131,order_131,setl_131,UTR131,39217700,784354,141183,0,0,2026-08-18 04:00:00
ent_132,payment,pay_132,order_132,setl_132,UTR132,8352700,167054,30069,0,0,2026-08-12 05:00:00
ent_133,payment,pay_133,order_133,setl_133,UTR133,8256800,165136,29724,0,0,2026-08-15 01:00:00
ent_134,payment,pay_134,order_134,setl_134,UTR134,25562600,511252,92025,0,0,2026-08-10 07:00:00
ent_134_r,refund,pay_134,order_134,setl_134,,0,0,0,6390650,0,2026-08-10 07:00:00
ent_135,payment,pay_135,order_135,setl_135,UTR135,22639800,452796,81503,0,0,2026-08-16 05:00:00
ent_136,payment,pay_136,order_136,setl_136,UTR136,11661500,233230,41981,0,0,2026-08-11 01:00:00
ent_137,payment,pay_137,order_137,setl_137,UTR137,40331200,806624,145192,0,0,2026-08-15 05:00:00
ent_138,payment,pay_138,order_138,setl_138,UTR138,26177300,523546,94238,0,0,2026-08-18 07:00:00
ent_139,payment,pay_139,order_139,setl_139,,36992600,739852,133173,0,0,2026-08-14 06:00:00
ent_140,payment,pay_140,order_140,setl_140,UTR140,1082500,21650,3897,0,0,2026-08-10 02:00:00
ent_141,payment,pay_141,order_141,setl_141,UTR141,21303400,426068,76692,0,0,2026-08-11 05:00:00
ent_142,payment,pay_142,order_142,setl_142,UTR142,9111100,182222,32799,0,0,2026-08-14 08:00:00
ent_143,payment,pay_143,order_143,setl_143,UTR143,12856700,257134,46284,0,0,2026-08-11 07:00:00
ent_144,payment,pay_144,order_144,setl_144,UTR144,11716700,234334,42180,0,0,2026-08-12 03:00:00
ent_145,payment,pay_145,order_145,setl_145,UTR145,26836100,536722,96609,0,0,2026-08-14 06:00:00
ent_146,payment,pay_146,order_146,setl_146,UTR146,5489900,109798,19763,0,0,2026-08-15 05:00:00
ent_147,payment,pay_147,order_147,setl_147,UTR147,9387500,187750,33795,0,0,2026-08-10 08:00:00
ent_148,payment,pay_148,order_148,setl_148,UTR148,8014500,160290,28852,0,0,2026-08-10 02:00:00
ent_149,payment,pay_149,order_149,setl_149,UTR149,31107400,622148,111986,0,0,2026-08-17 06:00:00
ent_150,payment,pay_150,order_150,setl_150,UTR150,2071700,41434,7458,0,0,2026-08-17 06:00:00
ent_151,payment,pay_151,order_151,setl_151,UTR151,31246800,624936,112488,0,0,2026-08-09 07:00:00
ent_152,payment,pay_152,order_152,setl_152,UTR152,47760300,955206,171937,0,0,2026-08-14 06:00:00
ent_154,payment,pay_154,order_154,setl_154,UTR154,13088900,261778,47120,0,0,2026-08-10 08:00:00
ent_155,payment,pay_155,order_155,setl_155,UTR155,20411700,408234,73482,0,0,2026-08-19 06:00:00
ent_156,payment,pay_156,order_156,setl_156,UTR156,17385200,347704,62586,0,0,2026-08-16 07:00:00
ent_157,payment,pay_157,order_157,setl_157,UTR157,4373000,87460,15742,0,0,2026-08-18 03:00:00
ent_158,payment,pay_158,order_158,setl_158,UTR158,31297200,625944,112669,0,0,2026-08-16 05:00:00
ent_159,payment,pay_159,order_159,setl_159,UTR159,35233300,704666,126839,0,0,2026-08-14 02:00:00
ent_160,payment,pay_160,order_160,setl_160,UTR160,19110500,382210,68797,0,0,2026-08-13 03:00:00
ent_161,payment,pay_161,order_161,setl_161,UTR161,11977300,239546,43118,0,0,2026-08-15 03:00:00
ent_162,payment,pay_162,order_162,setl_162,UTR162,40516000,810320,145857,0,0,2026-08-09 01:00:00
ent_163,payment,pay_163,order_163,setl_163,UTR163,2205700,44114,7940,0,0,2026-08-11 03:00:00
ent_164,payment,pay_164,order_164,setl_164,UTR164,2205700,44114,7940,0,0,2026-08-17 07:00:00
ent_165,payment,pay_165,order_165,setl_165,UTR165,32112700,642254,115605,0,0,2026-08-19 08:00:00
ent_166,payment,pay_166,order_166,setl_166,UTR166,42495100,849902,152982,0,0,2026-08-19 04:00:00
ent_167,payment,pay_167,order_167,setl_167,UTR167,40440700,808814,145586,0,0,2026-08-13 07:00:00
ent_168,payment,pay_168,order_168,setl_168,UTR168,7356000,147120,26481,0,0,2026-08-13 01:00:00
ent_169,payment,pay_169,order_169,setl_169,,44725600,894512,161012,0,0,2026-08-16 05:00:00
ent_170,payment,pay_170,order_170,setl_170,UTR170,47564100,951282,171230,0,0,2026-08-09 03:00:00
ent_171,payment,pay_171,order_171,setl_171,UTR171,46480000,929600,167328,0,0,2026-08-12 01:00:00
ent_172,payment,pay_172,order_172,setl_172,UTR172,19706300,394126,70942,0,0,2026-08-14 07:00:00
ent_173,payment,pay_173,order_173,setl_173,UTR173,16808200,336164,60509,0,0,2026-08-16 06:00:00
ent_174,payment,pay_174,order_174,setl_174,UTR174,48197900,963958,173512,0,0,2026-08-10 03:00:00
ent_175,payment,pay_175,order_175,setl_175,UTR175,1096300,21926,3946,0,0,2026-08-13 04:00:00
ent_176,payment,pay_176,order_176,setl_176,UTR176,40793700,815874,146857,0,0,2026-08-13 04:00:00
ent_177,payment,pay_177,order_177,setl_177,UTR177,22110900,442218,79599,0,0,2026-08-10 02:00:00
ent_178,payment,pay_178,order_178,setl_178,UTR178,30249000,604980,108896,0,0,2026-08-14 03:00:00
ent_179,payment,pay_179,order_179,setl_179,UTR179,18597700,371954,66951,0,0,2026-08-14 07:00:00
ent_180,payment,pay_180,order_180,setl_180,UTR180,19006000,380120,68421,0,0,2026-08-16 01:00:00
ent_181,payment,pay_181,order_181,setl_181,UTR181,19671700,393434,70818,0,0,2026-08-13 01:00:00
ent_182,payment,pay_182,order_182,setl_182,UTR182,38527200,770544,138697,0,0,2026-08-16 06:00:00
ent_183,payment,pay_183,order_183,setl_183,UTR183,17849600,356992,64258,0,0,2026-08-15 08:00:00
ent_184,payment,pay_184,order_184,setl_184,UTR184,3408200,68164,12269,0,0,2026-08-10 01:00:00
ent_186,payment,pay_186,order_186,setl_186,UTR186,24919700,498394,89710,0,0,2026-08-13 01:00:00
ent_187,payment,pay_187,order_187,setl_187,UTR187,45492700,909854,163773,0,0,2026-08-12 05:00:00
ent_188,payment,pay_188,order_188,setl_188,UTR188,39070700,781414,140654,0,0,2026-08-10 07:00:00
ent_188,payment,pay_188,order_188,setl_188,UTR188,39070700,781414,140654,0,0,2026-08-10 07:00:00
ent_189,payment,pay_189,order_189,setl_189,UTR189,19359500,387190,69694,0,0,2026-08-09 05:00:00
ent_190,payment,pay_190,order_190,setl_190,UTR190,22676200,453524,81634,0,0,2026-08-15 05:00:00
ent_191,payment,pay_191,order_191,setl_191,UTR191,34751200,695024,125104,0,0,2026-08-19 05:00:00
ent_192,payment,pay_192,order_192,setl_192,UTR192,2205700,44114,7940,0,0,2026-08-10 06:00:00
ent_193,payment,pay_193,order_193,setl_193,UTR193,22903400,458068,82452,0,0,2026-08-19 01:00:00
ent_194,payment,pay_194,order_194,setl_194,UTR194,27000400,540008,97201,0,0,2026-08-14 03:00:00
ent_195,payment,pay_195,order_195,setl_195,UTR195,6718000,134360,24184,0,0,2026-08-16 04:00:00
ent_196,payment,pay_196,order_196,setl_196,UTR196,1797900,35958,6472,0,0,2026-08-15 08:00:00
ent_197,payment,pay_197,order_197,setl_197,UTR197,30190000,603800,108684,0,0,2026-08-15 06:00:00
ent_198,payment,pay_198,order_198,setl_198,UTR198,6047900,120958,21772,0,0,2026-08-17 03:00:00
ent_199,payment,pay_199,order_199,setl_199,UTR199,6274000,125480,22586,0,0,2026-08-13 05:00:00
ent_201,payment,pay_201,order_201,setl_201,UTR201,4702700,94054,16929,0,0,2026-08-12 06:00:00
ent_202,payment,pay_202,order_202,setl_202,UTR202,44735800,894716,161048,0,0,2026-08-15 03:00:00
ent_203,payment,pay_203,order_203,setl_203,,10637100,212742,38293,0,0,2026-08-15 04:00:00
ent_204,payment,pay_204,order_204,setl_204,,30103800,602076,108373,0,0,2026-08-12 08:00:00
ent_205,payment,pay_205,order_205,setl_205,UTR205,16315700,326314,58736,0,0,2026-08-11 08:00:00
ent_206,payment,pay_206,order_206,setl_206,,16721300,334426,60196,0,0,2026-08-16 08:00:00
ent_207,payment,pay_207,order_207,setl_207,UTR207,46130300,922606,166069,0,0,2026-08-09 03:00:00
ent_208,payment,pay_208,order_208,setl_208,UTR208,27263400,545268,98148,0,0,2026-08-15 05:00:00
ent_209,payment,pay_209,order_209,setl_209,UTR209,18241500,364830,65669,0,0,2026-08-09 05:00:00
ent_210,payment,pay_210,order_210,setl_210,UTR210,14489100,289782,52160,0,0,2026-08-15 05:00:00
ent_211,payment,pay_211,order_211,setl_211,,49467300,989346,178082,0,0,2026-08-15 03:00:00
ent_212,payment,pay_212,order_212,setl_212,,4358400,87168,15690,0,0,2026-08-17 05:00:00
ent_214,payment,pay_214,order_214,setl_214,UTR214,2205700,44114,7940,0,0,2026-08-14 07:00:00
ent_215,payment,pay_215,order_215,setl_215,UTR215,23147900,462958,83332,0,0,2026-08-11 08:00:00
ent_215_a,adjustment,pay_215,order_215,setl_215,,0,0,0,0,200,2026-08-11 08:00:00
ent_216,payment,pay_216,order_216,setl_216,,7632300,152646,27476,0,0,2026-08-12 06:00:00
ent_217,payment,pay_217,order_217,setl_217,UTR217,27099700,541994,97558,0,0,2026-08-09 02:00:00
ent_218,payment,pay_218,order_218,setl_218,UTR218,14123200,282464,50843,0,0,2026-08-15 04:00:00
ent_220,payment,pay_220,order_220,setl_220,UTR220,37907800,758156,136468,0,0,2026-08-12 04:00:00
ent_221,payment,pay_221,order_221,setl_221,UTR221,46188800,923776,166279,0,0,2026-08-13 08:00:00
ent_222,payment,pay_222,order_222,setl_222,UTR222,24072000,481440,86659,0,0,2026-08-14 04:00:00
ent_223,payment,pay_223,order_223,setl_223,UTR223,26046700,520934,93768,0,0,2026-08-10 05:00:00
ent_224,payment,pay_224,order_224,setl_224,,46366000,927320,166917,0,0,2026-08-13 06:00:00
ent_225,payment,pay_225,order_225,setl_225,UTR225,2782100,55642,10015,0,0,2026-08-09 04:00:00
ent_226,payment,pay_226,order_226,setl_226,UTR226,20355800,407116,73280,0,0,2026-08-09 08:00:00
ent_226_r,refund,pay_226,order_226,setl_226,,0,0,0,5088950,0,2026-08-09 08:00:00
ent_227,payment,pay_227,order_227,setl_227,UTR227,5168800,103376,18607,0,0,2026-08-11 06:00:00
ent_228,payment,pay_228,order_228,setl_228,UTR228,10536300,210726,37930,0,0,2026-08-18 07:00:00
ent_229,payment,pay_229,order_229,setl_229,UTR229,37512700,750254,135045,0,0,2026-08-12 08:00:00
ent_230,payment,pay_230,order_230,setl_230,UTR230,48930500,978610,176149,0,0,2026-08-14 06:00:00
ent_231,payment,pay_231,order_231,setl_231,UTR231,17735600,354712,63848,0,0,2026-08-09 08:00:00
ent_231,payment,pay_231,order_231,setl_231,UTR231,17735600,354712,63848,0,0,2026-08-09 08:00:00
ent_232,payment,pay_232,order_232,setl_232,UTR232,17466400,349328,62879,0,0,2026-08-16 07:00:00
ent_233,payment,pay_233,order_233,setl_233,UTR233,24982100,499642,89935,0,0,2026-08-13 04:00:00
ent_234,payment,pay_234,order_234,setl_234,UTR234,27584800,551696,99305,0,0,2026-08-11 03:00:00
ent_235,payment,pay_235,order_235,setl_235,UTR235,1092800,21856,3934,0,0,2026-08-10 06:00:00
ent_236,payment,pay_236,order_236,setl_236,,21615500,432310,77815,0,0,2026-08-09 08:00:00
ent_237,payment,pay_237,order_237,setl_237,UTR237,10970600,219412,39494,0,0,2026-08-09 06:00:00
ent_238,payment,pay_238,order_238,setl_238,UTR238,9179700,183594,33046,0,0,2026-08-15 06:00:00
ent_239,payment,pay_239,order_239,setl_239,UTR239,25484900,509698,91745,0,0,2026-08-14 04:00:00
ent_240,payment,pay_240,order_240,setl_240,UTR240,49460900,989218,178059,0,0,2026-08-13 05:00:00
ent_241,payment,pay_241,order_241,setl_241,UTR241,25255500,505110,90919,0,0,2026-08-12 05:00:00
ent_242,payment,pay_242,order_242,setl_242,UTR242,43006500,860130,154823,0,0,2026-08-12 03:00:00
ent_243,payment,pay_243,order_243,setl_243,UTR243,18259400,365188,65733,0,0,2026-08-10 05:00:00
ent_244,payment,pay_244,order_244,setl_244,UTR244,14315100,286302,51534,0,0,2026-08-09 05:00:00
ent_245,payment,pay_245,order_245,setl_245,UTR245,2761500,55230,9941,0,0,2026-08-09 04:00:00
ent_246,payment,pay_246,order_246,setl_246,UTR246,17416800,348336,62700,0,0,2026-08-10 02:00:00
ent_247,payment,pay_247,order_247,setl_247,UTR247,34330300,686606,123589,0,0,2026-08-10 08:00:00
ent_248,payment,pay_248,order_248,setl_248,UTR248,33963600,679272,122268,0,0,2026-08-17 02:00:00
ent_248,payment,pay_248,order_248,setl_248,UTR248,33963600,679272,122268,0,0,2026-08-17 02:00:00
ent_249,payment,pay_249,order_249,setl_249,UTR249,22009200,440184,79233,0,0,2026-08-15 01:00:00
ent_250,payment,pay_250,order_250,setl_250,UTR250,46066500,921330,165839,0,0,2026-08-17 01:00:00
ent_251,payment,pay_251,order_251,setl_251,UTR251,15019200,300384,54069,0,0,2026-08-10 08:00:00
ent_253,payment,pay_253,order_253,setl_253,UTR253,37775200,755504,135990,0,0,2026-08-15 01:00:00
ent_253_r,refund,pay_253,order_253,setl_253,,0,0,0,9443800,0,2026-08-15 01:00:00
ent_254,payment,pay_254,order_254,setl_254,UTR254,43458000,869160,156448,0,0,2026-08-11 06:00:00
ent_254_a,adjustment,pay_254,order_254,setl_254,,0,0,0,0,400,2026-08-11 06:00:00
ent_255,payment,pay_255,order_255,setl_255,UTR255,7472100,149442,26899,0,0,2026-08-15 06:00:00
ent_256,payment,pay_256,order_256,setl_256,UTR256,12448000,248960,44812,0,0,2026-08-10 05:00:00
ent_257,payment,pay_257,order_257,setl_257,UTR257,2205700,44114,7940,0,0,2026-08-12 04:00:00
ent_259,payment,pay_259,order_259,setl_259,UTR259,19369800,387396,69731,0,0,2026-08-14 04:00:00
ent_260,payment,pay_260,order_260,setl_260,UTR260,39302800,786056,141490,0,0,2026-08-12 07:00:00
ent_261,payment,pay_261,order_261,setl_261,UTR261,35769500,715390,128770,0,0,2026-08-16 08:00:00
